draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,bFT,bMVP,bWP,bER,sigma
110,130.71308428895537,0.9670866516826864,0.5356568055523541,3.0,7.0,0.0,-126.80392824088504,0.2762063616747185,0.07633985078737036,0.0630227356708921,0.19487789774901715,0.0492579343761078,0.17601817992981625
111,129.17028631418708,0.8866068769141265,0.5550471485189914,2.0,3.0,0.0,-128.23725502120135,0.2707468868939039,0.06550721266179596,0.029252782229507703,0.23999956256120183,0.0759798288792198,0.2023641039113795
112,131.00279245157435,0.995696779034948,0.5593889784633831,3.0,7.0,0.0,-128.16947781098705,0.2907351209175206,0.0827527704634573,0.021155026644874775,0.18621889311470943,0.08512748359114271,0.18777910973428605
113,128.45526198089965,0.7208021414657338,0.4880592379583002,2.0,7.0,0.0,-123.45000941078115,0.2848203545512672,0.0812998091980278,0.006604001585563766,0.18457963923874116,0.04998950259474976,0.2188708593799866
114,130.71308428895537,0.31741295507427797,0.5356568055523541,2.0,7.0,0.0,-124.41630481023603,0.2762063616747185,0.07633985078737036,0.0630227356708921,0.19487789774901715,0.0492579343761078,0.17601817992981625
115,129.37790074114847,0.9550713955275203,0.5550471485189914,2.0,7.0,0.0,-126.80991318006951,0.2883209508789492,0.04807075750763821,0.03211458026651232,0.20870242504861078,0.044598831579445455,0.22649352682666613
116,130.03362323248217,0.8869252148022637,0.5593889784633831,3.0,7.0,0.0,-127.88917019101828,0.25527059459005325,0.07475189163996528,0.07376282097482748,0.2111578441385336,0.05151730594301674,0.19338251465027786
117,130.99726801052142,0.9560855673770744,0.4880592379583002,3.0,7.0,0.0,-125.1809322622032,0.2812762807845821,0.07941751749129408,0.06761617703936765,0.18406057349858168,0.047693967345393995,0.185760245186056
118,130.85892527326362,0.9932859191919471,0.5356568055523541,3.0,7.0,0.0,-129.13492384957232,0.2771740125194681,0.08019836408441368,0.07417212726534556,0.18325585300675354,0.0726499644958788,0.18810089775755248
119,130.3751162100503,0.8887755560607874,0.5550471485189914,3.0,7.0,0.0,-126.75971265372276,0.2640970614576077,0.06964510301736655,0.041644419361934276,0.23004631969221995,0.05227472678381565,0.17691846232401492
120,130.9171311545193,1.0,0.5593889784633831,3.0,7.0,0.0,-129.07004181511306,0.264012196356117,0.08392622918141164,0.06963582543673599,0.18418325472767944,0.057675332390625965,0.20628955545647473
121,130.57170176371298,0.9674296025912396,0.4880592379583002,3.0,7.0,0.0,-128.7209277172878,0.2896387233205367,0.07955629367511542,0.021950791867718804,0.189803207243943,0.08997789007065912,0.21027902051284392
122,131.5989125275552,0.9716563077099689,0.5356568055523541,3.0,7.0,0.0,-128.70165058297337,0.29338108791377504,0.04837565529617725,0.03302302277274349,0.21840004748134625,0.04176100575778306,0.18923060061816432
123,130.07411020179688,0.703190340550057,0.5550471485189914,3.0,7.0,0.0,-126.17917731910184,0.29290120134744035,0.05788015917725693,0.06073036597667605,0.16838124636415264,0.060887555976133954,0.19756517130969908
124,128.19823819419094,0.8823875520143087,0.5593889784633831,3.0,7.0,0.0,-126.40850990760954,0.2440517789615188,0.0928182309479191,0.05707921772272919,0.21707738836034546,0.04196205682778695,0.21967849591375285
125,131.0173542069024,0.964486075276357,0.4880592379583002,3.0,7.0,0.0,-128.0041173776683,0.29321431116843155,0.05519698245596891,0.061798093489081274,0.18425103199069578,0.06212136396715623,0.197530589944383
